param_n_estimators,param_max_depth,param_subsample,param_colsample_bytree,mean_R2,std_R2,mean_test_MAE,mean_test_MSE,mean_test_RMSE,rank,mean_fit_time,std_fit_time
600,4,0.6,0.8,-355506.1400022904,502761.7496501788,117.0044428507487,79054.82161458333,275.41493970502654,27,4.019252220789592,0.009248596491363113
600,4,0.5,0.8,-363005.47203382355,513367.40947944723,116.75421396891277,79026.96354166667,275.32856230882885,28,3.9479409058888755,0.007416967549337058
1000,4,0.5,0.8,-363347.9913043206,513851.7639982609,118.4682133992513,80627.61458333333,278.4734132088773,29,6.619100888570149,0.04405508082029691
300,4,0.8,0.8,-365063.9169212505,516278.5186797187,115.42095692952473,78375.82552083333,273.80638191590646,30,2.027955691019694,0.0014303738519024726
1000,6,0.5,0.8,-367824.80051031336,520182.8910870033,119.97881571451823,82459.60677083333,281.7600321895456,31,11.12358808517456,0.239895685466086
1000,8,0.5,0.8,-368624.05874380347,521313.1954547733,120.97884623209636,83450.63541666667,283.4449390718849,32,17.76256601015727,0.3671073662889268
600,6,0.5,0.8,-371094.0265756945,524806.3257001227,117.86047617594402,80565.11979166667,278.0995534522726,33,6.7284629344940186,0.09400899828411366
600,8,0.5,0.8,-372062.2850860779,526175.6319641408,118.8296381632487,81608.26432291667,279.8802696230445,34,10.49458392461141,0.2747333671987408
300,6,0.6,0.8,-377321.0434161375,533612.7100333762,115.7007573445638,78985.84895833333,274.71383313673255,35,3.4968016147613525,0.06340329708090456
300,8,0.6,0.8,-385870.67623752356,545703.7001310253,116.06170145670573,79263.66015625,275.3126556497452,36,5.6307980219523115,0.1859883562005735
300,4,0.6,0.8,-386743.3330640942,546937.8441244548,115.3308842976888,78406.70442708333,273.6773404241856,37,2.0225111643473306,0.0034871844443983644
300,4,0.5,0.8,-395703.2891551505,559609.140303282,114.97224934895833,78194.43880208333,273.3294298299306,38,2.098628044128418,0.0647476015451081
300,4,0.8,0.8,-395777.33392459404,559713.8488384681,115.42122904459636,78369.87760416667,273.7912681433016,39,2.061943451563517,0.0025352924273010316
300,4,0.6,0.8,-400577.2907972336,566502.0160451604,115.33091990152995,78462.02213541667,273.8010099720054,40,2.053821563720703,0.007277163405094952
300,6,0.5,0.8,-403149.70794629055,570139.9622421336,115.38889821370442,78811.9765625,274.4261357679224,41,3.449961026509603,0.064855281835315
300,8,0.5,0.8,-404039.6730348915,571398.548610385,116.18929290771484,79555.30729166667,275.66109908547696,42,5.454553604125977,0.17980144195547365
1000,6,0.8,0.8,-425754.64327988523,602108.0403805882,120.37509155273438,82451.48567708333,281.97608708515173,43,11.217412869135538,0.0828633932218493
1000,6,0.8,0.8,-425890.13659154874,602299.6710476577,119.63650767008464,81658.60807291667,280.41077419215463,44,12.110844214757284,0.06402302125134486
600,6,0.8,0.8,-429331.9903308029,607167.2323862681,117.89757029215495,80269.20572916667,277.699206799261,45,7.31548277537028,0.0897210633327945
600,6,0.8,0.8,-429460.53518001986,607349.0155041952,118.30492146809895,80695.23828125,278.5745127743523,46,7.011345942815145,0.11295465943071456
1000,8,0.8,0.8,-453385.22243313614,641183.5890226327,120.64532979329427,82719.51041666667,282.32214593782226,47,18.644698063532513,0.25330792394793955
600,8,0.8,0.8,-456751.3306281914,645944.0205331662,119.00429280598958,81435.7265625,279.8625267842494,48,11.507822116216024,0.16829760573016286
1000,8,0.8,0.8,-457603.2553220329,647148.8069611081,119.56790669759114,81973.7265625,280.7149151072362,49,22.137219349543255,0.5629800708592599
600,8,0.8,0.8,-460666.9081515148,651481.4956960656,118.20099131266277,81049.38151041667,278.9089354506139,50,13.373333613077799,0.282598455339132
300,6,0.8,0.8,-488440.3396126181,690759.1161466058,115.77745310465495,78620.10546875,274.32692436238483,51,3.9441282749176025,0.09162035163043436
300,6,0.8,0.8,-491281.46697904664,694777.0719806853,116.02274576822917,78838.85286458333,274.78941225981265,52,3.577611287434896,0.07302029746544947
300,8,0.8,0.8,-514963.0925998936,728267.9467957141,116.13224538167317,79471.06510416667,275.7576915395309,53,7.0117270946502686,0.30701590191377237
300,8,0.8,0.8,-515551.0957419698,729099.5021486061,116.55801137288411,79601.61458333333,276.20022195963946,54,5.963012297948201,0.20410583018884498
