param_n_estimators,param_max_depth,param_subsample,param_colsample_bytree,mean_R2,std_R2,mean_test_MAE,mean_test_MSE,mean_test_RMSE,rank,mean_fit_time,std_fit_time
600,4,0.6,0.8,-89994.92658815284,114967.3731763794,1894649.8125,994363932934144.0,28198556.39992258,150,5.14948304494222,0.039037529499696036
600,4,0.6,0.5,-90035.23178597789,117374.8953708178,1877249.6041666667,994558267621376.0,27974530.60006613,151,4.722618420918782,0.07135275501273247
600,8,0.5,0.6,-90535.0448093613,112627.29823693525,1939431.8958333333,996722650120192.0,28493182.287797317,152,12.015356461207071,0.12850038989342766
600,6,0.6,0.8,-91894.5205970655,118159.29156218492,1905406.2916666667,1002835616115370.6,28277297.49287017,153,8.68581748008728,0.06614345771964304
600,8,0.6,0.5,-92725.86960175137,121272.81500641695,1907707.1458333333,1006551898084693.4,28140584.162073743,154,10.553953886032104,0.05770791229103949
600,6,0.6,0.5,-92759.94071820875,121713.3521303457,1888222.4375,1006707337592832.0,28101277.442338523,155,7.6163374582926435,0.10617508030392744
600,4,0.6,0.6,-93342.08097082873,121331.95720475228,1905202.625,1009297170715989.4,28263296.05909692,156,4.674070596694946,0.007056716667342114
600,8,0.6,0.8,-93615.73506726325,120808.95869451964,1920870.9166666667,1010511390965760.0,28369129.689474415,157,12.786220868428549,0.1423546261880028
600,6,0.6,0.6,-95827.97973765433,125357.24623654605,1922664.1041666667,1020382317729109.4,28371360.793450963,158,7.698841571807861,0.0549411792204845
1000,6,0.5,0.8,-96850.36536074181,122106.22061278646,1962768.2083333333,1024906891012778.6,28862360.118902277,159,14.26859442392985,0.1403051855808209
1000,4,0.5,0.8,-96890.66466949384,121794.5442735695,1977362.1041666667,1025084284906154.6,28894358.3464178,160,8.564220746358236,0.03153427687858465
600,8,0.6,0.6,-97964.23999514182,128142.67991061705,1953480.75,1029903740130645.4,28530893.354894042,161,11.322033961613974,0.10280727958064968
1000,8,0.5,0.8,-98597.00891020398,124333.2209260468,1982663.5416666667,1032691217246890.6,28993224.98034525,162,20.63674529393514,0.35491204995870684
300,4,0.8,0.8,-103362.08968204756,129922.11618114708,1778635.2083333333,1053870799891114.6,29381552.342726767,163,2.621481736501058,0.019374898174308413
300,6,0.8,0.8,-103385.94108403225,130266.96667231106,1797609.8958333333,1053978766868480.0,29359043.700793315,164,4.665744781494141,0.02625988171470958
600,4,0.6,0.8,-103711.37521493435,115958.82034439531,2093678.9166666667,1055342788083712.0,30273663.583099436,165,5.22040867805481,0.03441336724361664
600,6,0.6,0.8,-104701.66541542113,122321.72208630554,2079887.5833333333,1059797474476032.0,30080400.289482426,166,9.138373931248983,0.07270898100081671
300,8,0.8,0.8,-105806.21017633379,132790.34465097147,1850425.7916666667,1064761827524608.0,29576986.568748925,167,7.591068506240845,0.048258886671748415
600,4,0.8,0.6,-106963.97646158934,132713.6836733785,2097171.1458333335,1069951076357461.4,29772993.569788635,168,4.667321602503459,0.005590835028235882
600,4,0.8,0.5,-108076.14483577509,136770.5739117034,2079806.8333333333,1074931060178944.0,29657068.667385887,169,4.72648040453593,0.04446840950765668
600,6,0.6,0.6,-108467.88847516477,131543.44770497698,2101887.1875,1076611975042389.4,30084089.365027577,170,8.03233520189921,0.06855995153169188
600,4,0.6,0.6,-109109.03515736759,132545.434009729,2080841.8958333333,1079475692022442.6,30117291.021021158,171,4.709801991780599,0.03671522480894258
600,4,0.8,0.8,-109193.01726985474,131737.08832566004,2127665.1458333335,1079860994768896.0,30180359.30880468,172,5.151093562444051,0.029031824685765678
1000,4,0.6,0.8,-109273.61993677914,132113.68465972433,2156218.5416666665,1080228292766378.6,30169166.278596517,173,8.697897354761759,0.03382330021339934
600,8,0.6,0.6,-109552.72146726151,132321.47765000805,2135674.0208333335,1081442644437674.6,30197385.094153244,174,12.333333730697632,0.08303867172551593
1000,4,0.5,0.6,-109854.83905170858,140816.37929870328,2096339.7708333333,1082885540937728.0,29641182.692675162,175,7.81177830696106,0.028754454808065964
