Timestep1and2,Number of particle,Strain rate,Intensity,Composition,Temperature,Strain,Stress,v_p1,v_p2,v_p3,v_p4,Total energy,Press,Von Mises stress,v_hydro,CaseID,Total dislocation length,Dislocation length.1/2<110>,Dislocation length.1/3<100>,Dislocation length.1/3<111>,Dislocation length.1/6<110>,Dislocation length.1/6<112>,BCC phase,FCC phase,HCP phase
121800,55,1000000000,4350000000,21,300.72772,0.02436,0.93901702,0.02436,0.93901702,0.0070971738,0.47264754,-1296919.1,-4729.2058,1.7299752,-4.5588198e-05,CS6,1931.52737998491,26.3096209778163,11.8114599174409,0.0,167.159744053342,1692.27813461495,1380.0,165923.0,2316.0
122400,55,1000000000,4350000000,21,300.69132,0.02448,0.95321421,0.02448,0.95321421,-0.0042927935,0.4671679,-1296919.7,-4720.2977,1.7823885,-4.5268455e-05,CS6,1990.17291434701,19.6813210142727,24.0584759785367,0.0,170.02103191038,1755.37115630592,1347.0,165897.0,2333.0
123000,55,1000000000,4350000000,21,301.28465,0.0246,0.9347007,0.0246,0.9347007,-0.0035396063,0.46225612,-1296681.6,-4644.724,1.7349501,-4.3444629e-05,CS6,1817.66271031261,23.036577247204,14.0494810221176,0.0,168.095835270655,1577.06413624724,1427.0,165474.0,2276.0
123600,55,1000000000,4350000000,21,300.61741,0.02472,0.95526788,0.02472,0.95526788,-0.0045181814,0.46958711,-1296930.0,-4734.456,1.776722,-4.5589956e-05,CS6,1888.95520482914,8.5005413624645,18.8793135256565,0.0,147.839880505022,1687.36411440374,1241.0,165650.0,2325.0
124200,55,1000000000,4350000000,21,301.12878,0.02484,0.95206607,0.02484,0.95206607,0.0061008943,0.47179037,-1296915.7,-4766.5244,1.7451085,-4.5889713e-05,CS6,1783.99285226179,3.84100481761299,0.0,0.0,147.957037658574,1589.06688707497,1305.0,165423.0,2280.0
124800,55,1000000000,4350000000,21,300.79204,0.02496,0.9639914,0.02496,0.9639914,0.012812973,0.48142752,-1297046.9,-4860.773,1.7527822,-4.8110827e-05,CS6,1775.68736563835,16.3971361790022,8.83016927713993,0.0,179.434385288394,1539.43821075848,1354.0,165442.0,2299.0
125400,55,1000000000,4350000000,21,300.32799,0.02508,0.96690422,0.02508,0.96690422,0.0032486287,0.47987671,-1297026.3,-4833.4319,1.7741293,-4.7336127e-05,CS6,1765.71206175983,10.8637898797545,6.07734307536778,0.0,134.401730412848,1579.96679440041,1340.0,165587.0,2259.0
126000,55,1000000000,4350000000,21,300.67552,0.0252,0.96697093,0.0252,0.96697093,-0.0075301006,0.48597768,-1296833.0,-4818.0617,1.7905327,-4.6218533e-05,CS6,1888.57276244281,16.6025163931624,17.8109778486099,0.0,186.631513953504,1644.98581052021,1375.0,165516.0,2280.0
126600,55,1000000000,4350000000,21,300.57911,0.02532,0.96909246,0.02532,0.96909246,-0.017441384,0.48511522,-1297117.0,-4789.221,1.8074978,-4.5642523e-05,CS6,1801.8673649367,12.3000581265907,20.2466904614851,3.85640884534123,134.708294228292,1607.15082415364,1391.0,165434.0,2284.0
127200,55,1000000000,4350000000,21,301.91355,0.02544,0.96292509,0.02544,0.96292509,-0.029465944,0.46938641,-1296957.2,-4676.1518,1.8171299,-4.2826117e-05,CS6,1779.59130509076,8.03349064411108,14.3478158687165,0.0,113.843022177631,1616.71776881255,1292.0,165320.0,2299.0
